X,Y,id,schoolname,score,num_fixtures,zip
-87.702163,41.870168,250,Kellman,0.0,7.0,60612
-87.677233,41.725263,251,Kellogg,0.025,8.0,60620
-87.694639,41.818729,252,Kelly Hs,0.0,34.0,60632
-87.735999,41.927918,253,Kelvyn Park Hs,0.0,28.0,60639
-87.78084,41.789961,254,Kennedy Hs,0.0,58.0,60638
-87.590421,41.803772,255,Kenwood Hs,0.02222222222222222,63.0,60615
-87.640892,41.776453,256,Kershaw,0.1285714285714286,14.0,60621
-87.668222,42.00364,257,Kilmer,0.0,16.0,60626
-87.641335,41.765335,258,King Es,0.0,18.0,60621
-87.603874,41.813675,259,King Hs,0.0,28.0,60653
-87.779483,41.789965,260,Kinzie,0.0,58.0,60638
-87.639521,41.723627,261,Kipling,0.0,12.0,60620
-87.602481,41.798002,262,Kozminski,0.0,4.0,60615
-87.673696,41.902914,263,Lasalle Ii,0.0071428571428571435,28.0,60622
-87.668953,41.954764,264,Lake View Hs,0.005882352941176471,34.0,60613
-87.691013,41.946645,265,Lane Tech Hs,0.0,69.0,60618
-87.657169,41.784681,266,Langford,0.0,10.0,60636
-87.672182,41.80977,267,Lara,0.0,23.0,60609
-87.637565,41.9139,268,Lasalle,0.1285714285714286,14.0,60614
-87.627148,41.696262,269,Lavizzo,0.0,13.0,60628
-87.712957,41.86296,270,Lawndale,0.0,14.0,60623
-87.728884,41.775305,271,Lee,0.0,16.0,60629
-87.62804,41.747186,272,Lenart,0.0,6.0,60620
-87.75455,41.906826,273,Lewis,0.009090909090909092,22.0,60651
-87.659933,41.797685,274,Libby,0.009523809523809523,21.0,60609
-87.644497,41.924525,275,Lincoln,0.0,31.0,60614
-87.646009,41.918268,276,Lincoln Park Hs,0.0,47.0,60614
-87.671662,41.782041,277,Lindblom Hs,0.005128205128205128,39.0,60636
-87.717319,41.843698,278,Little Village,0.016666666666666666,24.0,60623
-87.748515,41.918814,279,Lloyd,0.0,23.0,60639
-87.795604,41.931762,280,Locke J,0.005405405405405407,37.0,60634
-87.708041,41.93397,281,Logandale,0.0,20.0,60618
-87.783919,41.912718,282,Lovett,0.035294117647058816,17.0,60639
-87.710217,41.90652,283,Lowell,0.010526315789473684,19.0,60651
-87.665093,41.908886,284,Lozano,0.03636363636363637,22.0,60642
-87.777174,41.934192,285,Lyon,0.006060606060606061,33.0,60634
-87.705064,41.840957,286,Madero,0.05,20.0,60623
-87.590712,41.759548,287,Madison,0.0,13.0,60619
-87.639827,41.908247,288,Manierre,0.007692307692307694,26.0,60610
-87.699896,41.870939,289,Manley Hs,0.0,30.0,60612
-87.574816,41.748274,290,Mann,0.0,16.0,60617
-87.721742,41.916045,291,Marine Leadership At Ames Hs,0.0,17.0,60647
-87.69703,41.773881,292,Marquette,0.0,22.0,60629
-87.552483,41.716588,293,Marsh,0.020000000000000004,30.0,60617
-87.70805,41.878444,294,Marshall Hs,0.0,49.0,60624
-87.731672,41.856864,295,Mason,0.005405405405405407,37.0,60623
-87.702496,41.987589,296,Mather Hs,0.0,32.0,60659
-87.657287,41.923204,297,Mayer,0.0,18.0,60614
-87.637277,41.772727,298,Mays,0.0,5.0,60621
-87.641103,41.829993,299,Mcclellan,0.0,12.0,60609
-87.7063,41.842267,300,Mccormick,0.0,14.0,60623
-87.654758,41.970949,301,Mccutcheon,0.0,16.0,60640
-87.619214,41.73455,302,Mcdade,0.0,6.0,60619
-87.589589,41.733132,303,Mcdowell,0.0,7.0,60619
-87.691787,41.768143,304,Mckay,0.0,21.0,60629
